Year,Hkamti,Mawlaik,Monywa,Katha,Sagaing,Magway,Pyay
2001,2752.347432,2334.691727,1976.834661,2327.460659,2170.376302,1965.128417,1978.111884
2002,2781.674974,2194.266257,1889.191229,2071.249287,1913.284958,1847.660858,1870.329677
2003,2985.191273,2293.511512,1916.208711,1991.557703,1849.466763,1772.561753,1753.845514
2004,2789.397135,2319.33162,2011.509057,2324.526826,2144.419607,1975.078279,1946.065888
2005,2583.033629,2036.478786,1756.88262,1945.375529,1827.624046,1742.227168,1752.924824
2006,2458.915539,2004.4474,1804.883267,1891.064237,1833.306578,1759.240545,1762.477276
2007,2757.083084,2316.45724,2010.283099,2146.474157,2001.701653,1910.091385,1898.512639
2008,2752.640686,2262.061981,1916.302082,2112.947751,2008.984317,1856.73571,1841.739473
2009,2345.939433,1842.575242,1577.311946,1720.205865,1634.408429,1519.557089,1504.875705
2010,2870.940955,2387.581467,2060.405883,2406.915668,2210.603786,2032.15049,1991.164107
2011,2422.624752,2172.782255,1912.256748,1883.334045,1817.92115,1818.097921,1829.81047
2012,2792.505053,2147.312394,1805.997521,2070.521847,1922.360111,1802.365902,1789.265785
2013,2581.314976,2063.537669,1788.83307,1978.891251,1876.249644,1762.997583,1768.728509
2014,2302.614079,1817.333308,1513.4464,1718.045962,1592.661123,1483.777261,1477.448237
2015,2618.185753,2213.079229,1953.424999,1985.990829,1896.474281,1822.721623,1814.352148
2016,2891.817652,2312.908884,2004.474673,2279.731223,2123.123787,1947.809155,1928.142055
2017,3140.243255,2534.339019,2149.086646,2257.165538,2098.060895,2049.89642,2061.62763
2018,2588.725098,2196.544273,1940.436966,2007.448805,1914.325052,1863.102029,1882.993257
2019,2372.688254,1890.249567,1581.497293,1791.842756,1625.326369,1585.30375,1606.852505
2020,3207.055423,2501.971159,2008.675553,2332.901244,2160.428446,1932.938821,1896.510349
2021,2069.46896,1820.071891,1678.408673,1729.518975,1684.734436,1646.984681,1675.377703
2022,2583.57918,2153.685536,1886.072806,2065.645143,1969.201185,1853.4586,1843.029483
2023,2553.70643,2103.57718,1911.260368,1967.916355,1916.165863,1826.976381,1821.978929
