Date,Chiang_Saen,Luang_Prabang,Chiang_Khan,Mukdahan,Khong_Chiam,Pakse,Stung_Treng
2001-01-01,1280,1657.496,2514.61,2960,3415.54,3799.05,5222
2001-01-02,1250,1663.05,2420.15,2980,3433.31,3722.97,5062
2001-01-03,1140,1690.971,2381.16,3020,3415.54,3697.64,4926
2001-01-04,1060,1663.05,2334.69,3020,3397.81,3824.45,4859
2001-01-05,1080,1586.195,2334.69,2930,3380.09,3697.64,4825
2001-01-06,1120,1500.744,2334.69,2850,3327.1,3647.05,4791
2001-01-07,1250,1464.156,2326.97,2780,3256.78,3546.07,4791
2001-01-08,1240,1458.969,2311.57,2720,3169.44,3546.07,4723
2001-01-09,1220,1469.353,2114.67,2680,3082.73,3395.17,4621
2001-01-10,1170,1586.195,2070.12,2670,2996.66,3195.06,4451
2001-01-11,1120,1569.979,2107.22,2660,2945.32,3170.13,4351
2001-01-12,1140,1543.152,2174.59,2650,2945.32,3120.34,4287
2001-01-13,1160,1495.487,2227.51,2590,2928.27,3021.02,4222
2001-01-14,1080,1495.487,2204.77,2540,2911.23,2996.24,4190
2001-01-15,1100,1500.744,2152.05,2490,2843.36,2996.24,4126
2001-01-16,1130,1469.353,2084.93,2460,2775.91,3021.02,4061
2001-01-17,1080,1453.791,2084.93,2460,2675.54,2823.38,3965
2001-01-18,1050,1485.003,2084.93,2520,2775.91,2774.2,3901
2001-01-19,1080,1458.969,2047.97,2530,2742.34,2774.2,3836
2001-01-20,1070,1428.052,2040.61,2520,2708.89,2749.64,3804
2001-01-21,1080,1407.638,2025.91,2460,2742.34,2749.64,3804
2001-01-22,1120,1392.431,2003.93,2450,2708.89,2823.38,3772
2001-01-23,1150,1387.382,1967.49,2440,2675.54,2798.78,3772
2001-01-24,1120,1367.283,1945.74,2420,2675.54,2774.2,3804
2001-01-25,1080,1438.318,1924.08,2420,2658.9,2798.78,3804
2001-01-26,1140,1448.623,1931.29,2420,2725.6,2823.38,3772
2001-01-27,1090,1392.431,1945.74,2410,2675.54,2798.78,3678
2001-01-28,970,1392.431,1974.76,2450,2642.3,2798.78,3647
2001-01-29,980,1392.431,1945.74,2420,2592.64,2749.64,3647
2001-01-30,975,1293.311,1916.88,2400,2576.15,2725.1,3647
2001-01-31,955,1245.22,1909.69,2410,2576.15,2676.09,3616
2001-02-01,935,1235.719,1852.49,2520,2576.15,2651.62,3585
2001-02-02,960,1235.719,1746.93,2520,2576.15,2651.62,3585
2001-02-03,985,1226.257,1684.66,2520,2576.15,2676.09,3554
2001-02-04,945,1216.834,1657.24,2500,2576.15,2651.62,3493
2001-02-05,915,1198.105,1623.19,2480,2576.15,2676.09,3462
2001-02-06,925,1184.16,1589.39,2460,2559.68,2627.18,3462
2001-02-07,915,1156.534,1589.39,2490,2526.83,2651.62,3431
2001-02-08,910,1138.311,1582.66,2410,2494.08,2651.62,3462
2001-02-09,885,1111.266,1562.54,2370,2445.18,2529.64,3462
2001-02-10,910,1093.43,1509.32,2320,2412.72,2481.01,3462
2001-02-11,930,1102.329,1489.53,2300,2396.54,2432.49,3369
2001-02-12,955,1071.352,1476.39,2300,2316.03,2335.74,3339
2001-02-13,945,1071.352,1437.21,2280,2316.03,2359.89,3309
2001-02-14,925,1088.995,1411.31,2260,2284.04,2239.41,3218
2001-02-15,920,1102.329,1411.31,2230,2316.03,2263.45,3188
2001-02-16,905,1088.995,1424.24,2220,2316.03,2215.39,3158
2001-02-17,910,1071.352,1424.24,2200,2316.03,2239.41,3128
2001-02-18,930,1058.222,1417.77,2200,2300.02,2215.39,3098
2001-02-19,885,1045.178,1404.86,2190,2268.08,2191.4,3098
2001-02-20,885,1045.178,1391.99,2190,2252.16,2191.4,3098
2001-02-21,855,1032.221,1360,2180,2236.26,2167.44,3069
2001-02-22,850,1015.08,1353.63,2160,2220.39,2215.39,3039
2001-02-23,905,1002.325,1347.28,2180,2252.16,2215.39,3009
2001-02-24,860,1002.325,1321.96,2200,2236.26,2215.39,2980
2001-02-25,842,998.0921,1309.37,2200,2252.16,2239.41,3009
2001-02-26,834,985.4525,1278.07,2180,2252.16,2239.41,3009
2001-02-27,850,939.8449,1259.42,2160,2220.39,2263.45,3009
2001-02-28,940,927.6074,1253.23,2160,2220.39,2239.41,2980
2001-03-01,900,927.6074,1240.87,2150,2188.75,2239.41,2950
2001-03-02,980,977.0739,1216.29,2130,2172.98,2191.4,2950
2001-03-03,945,985.4525,1222.42,2130,2188.75,2143.5,2921
2001-03-04,900,993.8693,1234.71,2110,2188.75,2119.59,2921
2001-03-05,940,1015.08,1240.87,2100,2188.75,2119.59,2863
2001-03-06,885,977.0739,1259.42,2100,2188.75,2095.71,2863
2001-03-07,855,977.0739,1271.84,2090,2188.75,2143.5,2834
2001-03-08,838,977.0739,1265.63,2080,2078.95,2167.44,2776
2001-03-09,850,972.8992,1253.23,2060,2157.23,2024.24,2718
2001-03-10,900,968.7338,1259.42,2090,2157.23,2000.48,2690
2001-03-11,915,968.7338,1284.31,2130,2157.23,2024.24,2662
2001-03-12,905,1019.351,1303.09,2180,2188.75,2024.24,2632
2001-03-13,970,1080.155,1296.82,2230,2204.56,2095.71,2690
2001-03-14,1020,1106.792,1315.66,2270,2141.51,2191.4,2718
2001-03-15,1050,1165.704,1385.57,2270,2220.39,2287.52,2776
2001-03-16,1060,1207.45,1443.72,2310,2268.08,2335.74,2834
2001-03-17,1060,1264.339,1489.53,2350,2252.16,2359.89,2863
2001-03-18,1010,1288.458,1569.23,2360,2300.02,2359.89,2950
2001-03-19,945,1288.458,1643.59,2350,2332.08,2408.26,2980
2001-03-20,920,1259.544,1719.15,2360,2316.03,2456.74,2950
2001-03-21,870,1184.16,1760.88,2400,2316.03,2456.74,2980
2001-03-22,842,1097.875,1746.93,2480,2316.03,2408.26,3158
2001-03-23,880,1045.178,1677.79,2570,2412.72,2529.64,3158
2001-03-24,945,1019.351,1562.54,2650,2510.44,2627.18,3188
2001-03-25,1080,1002.325,1450.23,2680,2592.64,2749.64,3218
2001-03-26,935,998.0921,1372.76,2700,2675.54,2823.38,3278
2001-03-27,846,1156.534,1334.6,2680,2759.11,2946.74,3431
2001-03-28,790,1202.773,1347.28,2670,2809.58,2971.48,3585
2001-03-29,742,1053.864,1450.23,2660,2843.36,3195.06,3772
2001-03-30,718,952.1685,1596.13,2530,2860.29,3070.64,4094
2001-03-31,762,891.4108,1562.54,2480,2725.6,2922.03,4061
2001-04-01,774,844.3481,1424.24,2360,2625.72,2922.03,4094
2001-04-02,880,817.5265,1309.37,2300,2576.15,2774.2,3901
2001-04-03,895,867.7084,1222.42,2280,2477.75,2651.62,3804
2001-04-04,846,985.4525,1173.69,2310,2526.83,2553.99,3616
2001-04-05,774,1075.749,1185.81,2350,2609.17,2529.64,3462
2001-04-06,826,1010.818,1265.63,2300,2576.15,2408.26,3400
2001-04-07,880,952.1685,1328.27,2200,2576.15,2384.06,3400
2001-04-08,885,915.4561,1372.76,2110,2592.64,2359.89,3369
2001-04-09,855,883.4719,1309.37,2040,2300.02,2359.89,3309
2001-04-10,834,907.4028,1204.06,1980,2252.16,2119.59,3218
2001-04-11,818,891.4108,1191.88,1990,2172.98,2167.44,3128
2001-04-12,782,879.5167,1204.06,2040,2032.35,2048.04,3039
2001-04-13,870,895.3944,1222.42,2100,2094.54,2000.48,2950
2001-04-14,900,903.3906,1234.71,2130,2125.83,2048.04,2834
2001-04-15,865,911.4246,1240.87,2090,2157.23,2095.71,2776
2001-04-16,790,923.5474,1234.71,2030,2094.54,2048.04,2805
2001-04-17,810,919.4971,1222.42,1990,2063.39,2000.48,2950
2001-04-18,790,907.4028,1228.56,2000,2063.39,1976.74,2921
2001-04-19,746,867.7084,1240.87,2030,2047.85,1953.04,2892
2001-04-20,722,840.4882,1210.17,2060,2047.85,1882.1,2863
2001-04-21,754,802.4081,1185.81,2060,2047.85,1953.04,2747
2001-04-22,742,768.9443,1161.62,2050,2063.39,1953.04,2718
2001-04-23,865,743.4449,1137.61,2040,2063.39,2024.24,2747
2001-04-24,900,743.4449,1101.93,2040,2063.39,2071.86,2776
2001-04-25,860,772.6249,1078.37,2060,2110.17,2024.24,2776
2001-04-26,758,871.6351,1066.66,2040,2110.17,2048.04,2747
2001-04-27,782,852.097,1060.82,2040,2236.26,2167.44,2747
2001-04-28,850,794.9056,1119.72,2030,2252.16,2167.44,2776
2001-04-29,762,732.6576,1155.6,1990,2188.75,2191.4,2834
2001-04-30,774,791.1686,1131.64,1940,2125.83,2191.4,2863
2001-05-01,875,825.1425,1066.66,1920,2047.85,2024.24,2776
2001-05-02,930,813.7326,1060.82,1920,2047.85,1929.36,2834
2001-05-03,885,883.4719,1107.85,1970,1970.65,1858.52,2863
2001-05-04,985,977.0739,1197.97,2020,2078.95,1717.67,3009
