Date,Hkamti,Mawlaik,Monywa,Katha,Sagaing,Magway,Pyay
2001-01-01,242.049362,723.473633,1100.68408,1070.41882,1489.70,2985.5105,3173.46387
2001-01-02,236.780609,708.261536,1078.25549,1057.07324,1466.75,2937.67334,3120.35352
2001-01-03,231.648132,693.511169,1056.22913,1042.69739,1451.29,2901.03662,3085.70459
2001-01-04,226.81839,679.227356,1034.37756,1027.03918,1446.60,2864.71069,3047.16919
2001-01-05,222.259842,665.12561,1013.08209,1012.09302,1426.72,2817.87598,2998.27148
2001-01-06,218.928589,651.496216,992.581665,998.348022,1405.59,2772.85327,2950.02417
2001-01-07,218.638138,637.87793,972.7771,986.846741,1383.74,2729.41772,2903.37061
2001-01-08,219.511932,625.135254,954.202393,979.720459,1363.31,2687.3623,2858.46533
2001-01-09,214.466202,615.135742,935.644592,977.847656,1344.02,2644.9021,2815.24097
2001-01-10,207.60437,607.275024,916.53064,992.593262,1328.20,2602.43921,2772.71191
2001-01-11,205.409348,598.680786,899.570923,1013.60779,1317.23,2562.60132,2729.75708
2001-01-12,202.460938,586.490967,885.492371,998.921265,1313.17,2523.41821,2687.66138
2001-01-13,194.920532,571.711853,871.257751,959.231812,1327.46,2487.79565,2647.82202
2001-01-14,186.354507,559.972778,854.592346,926.099609,1335.01,2459.99292,2608.86572
2001-01-15,179.470261,550.143799,834.721741,901.374329,1304.07,2441.00122,2575.30884
2001-01-16,174.079132,536.312744,817.003906,882.754333,1259.99,2439.31958,2549.68823
2001-01-17,170.708832,520.269714,802.428894,866.358948,1223.96,2427.48511,2535.62549
2001-01-18,166.963135,505.551544,784.452576,852.905334,1195.82,2376.37695,2535.35107
2001-01-19,162.165176,492.600861,763.754883,840.861816,1172.67,2315.35229,2510.06616
2001-01-20,157.950211,481.789124,743.9245,831.599731,1151.88,2263.01123,2450.85498
2001-01-21,153.868683,471.79361,726.118164,820.329529,1134.09,2214.67114,2392.67065
2001-01-22,150.002075,460.930908,710.400269,804.466431,1117.91,2169.74854,2341.49268
2001-01-23,146.647644,450.207092,696.021545,790.603394,1104.13,2129.58154,2294.5083
2001-01-24,149.7948,439.996277,681.021179,778.76416,1086.51,2095.18652,2251.43799
2001-01-25,188.57785,430.107025,665.903259,767.777466,1066.19,2062.92944,2212.54175
2001-01-26,251.872833,421.796295,651.507629,757.578308,1048.67,2033.39099,2177.65576
2001-01-27,258.449341,421.602081,637.449951,761.314758,1032.72,1999.52063,2146.43701
2001-01-28,215.285065,446.066132,624.624146,839.253967,1017.58,1963.86707,2116.9353
2001-01-29,177.523346,499.64502,618.398682,1065.23535,1004.82,1933.27991,2082.9187
2001-01-30,149.286697,522.364014,633.428284,1204.31995,1018.28,1904.14026,2049.1311
2001-01-31,133.184647,484.026062,679.670227,1097.02881,1138.86,1875.64209,2019.14233
2001-02-01,125.677467,433.79248,709.324036,941.942078,1355.15,1844.07263,1968.07593
2001-02-02,122.110405,395.682587,676.585693,826.361877,1411.60,1881.73657,1942.17468
2001-02-03,119.420723,369.608154,621.065979,752.100952,1260.62,2049.98511,1940.06909
2001-02-04,116.954453,354.390717,577.657898,717.037476,1116.88,2284.78296,2012.14917
2001-02-05,113.733269,345.237335,545.865662,710.062683,1008.45,2295.72607,2226.71069
2001-02-06,111.831802,337.82843,525.832642,716.262573,944.16,2095.87988,2410.73608
2001-02-07,118.696144,330.547882,513.300781,723.743774,915.65,1910.57361,2328.7981
2001-02-08,130.12175,323.04184,505.000732,723.014221,910.52,1773.55737,2117.43433
2001-02-09,131.106003,316.319153,496.732758,713.641846,915.09,1690.59485,1948.93396
2001-02-10,121.470291,315.549164,485.537506,725.552124,918.40,1649.95496,1833.05457
2001-02-11,110.470284,323.030731,473.719086,762.196777,914.66,1646.98486,1773.6532
2001-02-12,101.3451,324.63913,467.058807,783.045471,912.64,1641.61707,1743.50647
2001-02-13,95.2620468,313.782043,469.924622,750.925659,929.98,1632.08997,1733.43054
